M,p,eta,sig_nois,sigma,bin
20,0.01,0.3,1,1.424388921,FALSE
20,0.01,0.3,2,1.007195065,FALSE
20,0.05,0.3,1,6.936598134,FALSE
20,0.05,0.3,2,4.904915579,FALSE
20,0.01,0.5,1,2.373981536,FALSE
20,0.01,0.5,2,1.678658442,FALSE
20,0.05,0.5,1,11.56099689,FALSE
20,0.05,0.5,2,8.174859298,FALSE
20,0.01,0.8,1,3.798370457,FALSE
20,0.01,0.8,2,2.685853508,FALSE
20,0.05,0.8,1,18.49759502,FALSE
20,0.05,0.8,2,13.07977488,FALSE
20,0.1,0.3,1,13.19297489,FALSE
20,0.1,0.3,2,9.328842007,FALSE
20,0.1,0.5,1,21.98829148,FALSE
20,0.1,0.5,2,15.54807001,FALSE
20,0.1,0.8,1,35.18126637,FALSE
20,0.1,0.8,2,24.87691202,FALSE
50,0.01,0.3,1,7.417414973,FALSE
50,0.01,0.3,2,5.244904426,FALSE
50,0.05,0.3,1,33.67297721,FALSE
50,0.05,0.3,2,23.81039053,FALSE
50,0.01,0.5,1,12.36235829,FALSE
50,0.01,0.5,2,8.741507377,FALSE
50,0.05,0.5,1,56.12162869,FALSE
50,0.05,0.5,2,39.68398422,FALSE
50,0.01,0.8,1,19.77977326,FALSE
50,0.01,0.8,2,13.9864118,FALSE
50,0.05,0.8,1,89.7946059,FALSE
50,0.05,0.8,2,63.49437475,FALSE
50,0.1,0.3,1,63.92611492,FALSE
50,0.1,0.3,2,45.20258936,FALSE
50,0.1,0.5,1,106.5435249,FALSE
50,0.1,0.5,2,75.33764893,FALSE
50,0.1,0.8,1,170.4696398,FALSE
50,0.1,0.8,2,120.5402383,FALSE
100,0.01,0.3,1,28.43372134,FALSE
100,0.01,0.3,2,20.10567717,FALSE
100,0.05,0.3,1,132.6257476,FALSE
100,0.05,0.3,2,93.78056546,FALSE
100,0.01,0.5,1,47.38953557,FALSE
100,0.01,0.5,2,33.50946196,FALSE
100,0.05,0.5,1,221.0429126,FALSE
100,0.05,0.5,2,156.3009424,FALSE
100,0.01,0.8,1,75.82325691,FALSE
100,0.01,0.8,2,53.61513913,FALSE
100,0.05,0.8,1,353.6686602,FALSE
100,0.05,0.8,2,250.0815079,FALSE
100,0.1,0.3,1,254.9640321,FALSE
100,0.1,0.3,2,180.2867961,FALSE
100,0.1,0.5,1,424.9400536,FALSE
100,0.1,0.5,2,300.4779935,FALSE
100,0.1,0.8,1,679.9040857,FALSE
100,0.1,0.8,2,480.7647896,FALSE
20,0.01,0.3,1,0.547122555,TRUE
20,0.01,0.3,2,0.386874069,TRUE
20,0.05,0.3,1,2.564406791,TRUE
20,0.05,0.3,2,1.813309432,TRUE
20,0.01,0.5,1,0.911870925,TRUE
20,0.01,0.5,2,0.644790114,TRUE
20,0.05,0.5,1,4.274011318,TRUE
20,0.05,0.5,2,3.022182386,TRUE
20,0.01,0.8,1,1.45899348,TRUE
20,0.01,0.8,2,1.031664183,TRUE
20,0.05,0.8,1,6.83841811,TRUE
20,0.05,0.8,2,4.835491818,TRUE
20,0.1,0.3,1,4.77589312,TRUE
20,0.1,0.3,2,3.377066411,TRUE
20,0.1,0.5,1,7.959821866,TRUE
20,0.1,0.5,2,5.628444019,TRUE
20,0.1,0.8,1,12.73571499,TRUE
20,0.1,0.8,2,9.00551043,TRUE
50,0.01,0.3,1,2.767152291,TRUE
50,0.01,0.3,2,1.95667215,TRUE
50,0.05,0.3,1,11.90463235,TRUE
50,0.05,0.3,2,8.417846262,TRUE
50,0.01,0.5,1,4.611920485,TRUE
50,0.01,0.5,2,3.26112025,TRUE
50,0.05,0.5,1,19.84105392,TRUE
50,0.05,0.5,2,14.02974377,TRUE
50,0.01,0.8,1,7.379072777,TRUE
50,0.01,0.8,2,5.217792399,TRUE
50,0.05,0.8,1,31.74568627,TRUE
50,0.05,0.8,2,22.44759003,TRUE
50,0.1,0.3,1,22.00361076,TRUE
50,0.1,0.3,2,15.55890238,TRUE
50,0.1,0.5,1,36.6726846,TRUE
50,0.1,0.5,2,25.93150397,TRUE
50,0.1,0.8,1,58.67629536,TRUE
50,0.1,0.8,2,41.49040634,TRUE
100,0.01,0.3,1,9.983698468,TRUE
100,0.01,0.3,2,7.059540888,TRUE
100,0.05,0.3,1,44.82141468,TRUE
100,0.05,0.3,2,31.69352626,TRUE
100,0.01,0.5,1,16.63949745,TRUE
100,0.01,0.5,2,11.76590148,TRUE
100,0.05,0.5,1,74.7023578,TRUE
100,0.05,0.5,2,52.82254377,TRUE
100,0.01,0.8,1,26.62319591,TRUE
100,0.01,0.8,2,18.82544237,TRUE
100,0.05,0.8,1,119.5237725,TRUE
100,0.05,0.8,2,84.51607004,TRUE
100,0.1,0.3,1,84.72694202,TRUE
100,0.1,0.3,2,59.91099525,TRUE
100,0.1,0.5,1,141.21157,TRUE
100,0.1,0.5,2,99.85165875,TRUE
100,0.1,0.8,1,225.9385121,TRUE
100,0.1,0.8,2,159.762654,TRUE
